class_index,class,SCIENTIFIC NAME
299,PINK ROBIN,Petroica rodinogaster
300,POMARINE JAEGER,Stercorarius pomarinus
301,PUFFIN,Fratercula
302,PURPLE FINCH,Haemorhous purpureus
303,PURPLE GALLINULE,Porphyrio martinicus
304,PURPLE MARTIN,Progne subis
305,PURPLE SWAMPHEN,Porphyrio porphyrio
306,PYGMY KINGFISHER,Ispidina picta
307,QUETZAL,Pharomachrus mocinno
308,RAINBOW LORIKEET,Trichoglossus moluccanus
309,RAZORBILL,Alca torda
310,RED BEARDED BEE EATER,Nyctyornis amictus
311,RED BELLIED PITTA,Pitta erythrogaster
312,RED BROWED FINCH,Neochmia temporalis
313,RED FACED CORMORANT,Phalacrocorax urile
314,RED FACED WARBLER,Cardellina rubrifrons
315,RED FODY,Foudia madagascariensis
316,RED HEADED DUCK,Aythya americana
317,RED HEADED WOODPECKER,Melanerpes erythrocephalus
318,RED HONEY CREEPER,Cyanerpes cyaneus
319,RED NAPED TROGON,Harpactes kasumba
320,RED TAILED HAWK,Buteo jamaicensis
321,RED TAILED THRUSH,Neocossyphus rufus
322,RED WINGED BLACKBIRD,Agelaius phoeniceus
323,RED WISKERED BULBUL,Pycnonotus jocosus
324,REGENT BOWERBIRD,Sericulus chrysocephalus
325,RING-NECKED PHEASANT,Phasianus colchicus
326,ROADRUNNER,Geococcyx
327,ROBIN,Turdus migratorius
328,ROCK DOVE,Columba livia
329,ROSY FACED LOVEBIRD,Agapornis roseicollis
330,ROUGH LEG BUZZARD,Buteo lagopus
331,ROYAL FLYCATCHER,Onychorhynchus
332,RUBY THROATED HUMMINGBIRD,Archilochus colubris
333,RUDY KINGFISHER,Halcyon coromanda
334,RUFOUS KINGFISHER,Chloroceryle inda
335,RUFUOS MOTMOT,Baryphthengus martii
336,SAMATRAN THRUSH,Myophonus castaneus
337,SAND MARTIN,Riparia riparia
338,SANDHILL CRANE,Grus canadensis
339,SATYR TRAGOPAN,Tragopan satyra
340,SCARLET CROWNED FRUIT DOVE,Ptilinopus insularis
341,SCARLET IBIS,Eudocimus ruber
342,SCARLET MACAW,Ara macao
343,SCARLET TANAGER,Piranga olivacea
344,SHOEBILL,Balaeniceps rex
345,SHORT BILLED DOWITCHER,Limnodromus griseus
346,SMITHS LONGSPUR,Calcarius pictus
347,SNOWY EGRET,Egretta thula
348,SNOWY OWL,Bubo scandiacus
349,SORA,Porzana carolina
350,SPANGLED COTINGA,Cotinga cayana
351,SPLENDID WREN,Malurus splendens
352,SPOON BILED SANDPIPER,Calidris pygmaea
353,SPOONBILL,Platalea
354,SPOTTED CATBIRD,Ailuroedus maculosus
355,SRI LANKA BLUE MAGPIE,Urocissa ornata
356,STEAMER DUCK,Tachyeres
357,STORK BILLED KINGFISHER,Pelargopsis capensis
358,STRAWBERRY FINCH,Amandava amandava
359,STRIPED OWL,Asio clamator
360,STRIPPED MANAKIN,Machaeropterus regulus
361,STRIPPED SWALLOW,Cecropis abyssinica
362,SUPERB STARLING,Lamprotornis superbus
363,SWINHOES PHEASANT,Lophura swinhoii
364,TAILORBIRD,Orthotomus atrogularis
365,TAIWAN MAGPIE,Urocissa caerulea
366,TAKAHE,Porphyrio hochstetteri
367,TASMANIAN HEN,Tribonyx mortierii
368,TEAL DUCK,Anas crecca
369,TIT MOUSE,Paridae
370,TOUCHAN,Ramphastidae
371,TOWNSENDS WARBLER,Setophaga townsendi
372,TREE SWALLOW,Tachycineta bicolor
373,TROPICAL KINGBIRD,Tyrannus melancholicus
374,TRUMPTER SWAN,Cygnus buccinator
375,TURKEY VULTURE,Cathartes aura
376,TURQUOISE MOTMOT,Eumomota superciliosa
377,UMBRELLA BIRD,Cephalopterus
378,VARIED THRUSH,Ixoreus naevius
379,VENEZUELIAN TROUPIAL,Icterus icterus
380,VERMILION FLYCATHER,Pyrocephalus obscurus
381,VICTORIA CROWNED PIGEON,Goura victoria
382,VIOLET GREEN SWALLOW,Tachycineta thalassina
383,VIOLET TURACO,Musophaga violacea
384,VULTURINE GUINEAFOWL,Acryllium vulturinum
385,WALL CREAPER,Tichodroma muraria
386,WATTLED CURASSOW,Crax globulosa
387,WATTLED LAPWING,Vanellus indicus
388,WHIMBREL,Numenius phaeopus
389,WHITE BROWED CRAKE,Amaurornis cinerea
390,WHITE CHEEKED TURACO,Tauraco leucotis
391,WHITE NECKED RAVEN,Corvus albicollis
392,WHITE TAILED TROPIC,Phaethon lepturus
393,WHITE THROATED BEE EATER,Merops albicollis
394,WILD TURKEY,Meleagris gallopavo
395,WILSONS BIRD OF PARADISE,Cicinnurus respublica
396,WOOD DUCK,Aix sponsa
397,YELLOW BELLIED FLOWERPECKER,Dicaeum melanoxanthum
398,YELLOW CACIQUE,Cacicus cela
399,YELLOW HEADED BLACKBIRD,Xanthocephalus
